SNo|Pullout Date|Pullout Count|Agreement No|Short Agreement No|GNSA Ref No|Reason|Error
1|2017-01-12|1|XVFPCHU00001706950|1706950|16071900105|CHOLA REQUEST|Invalid spdc Entry
3|2017-01-12|1|XSHUMRH00001719190|1719190|16072200701|CHOLA REQUEST|Invalid spdc Entry
8|2017-01-12|1|XSHUSRT00001728948|1728948|16073000784|CHOLA REQUEST|Invalid spdc Entry
12|2017-01-12|1|XSHUCMU00001724319|1724319|16080200219|CHOLA REQUEST|Invalid spdc Entry
19|2017-01-12|1|XVFPCRR00001700263|1700263|16081200660|CHOLA REQUEST|Invalid spdc Entry
49|2017-01-12|1|XTRABJI00001800381|1800381|16102500729|CHOLA REQUEST|Invalid spdc Entry
50|2017-01-12|1|XVFPLAB00001799034|1799034|16102501301|CHOLA REQUEST|Invalid spdc Entry
63|2017-01-30|1|XVFPVDA00001752131|52131|16091401945|CHOLA REQUEST|Invalid Agreement
66|2017-02-09|1|XVFPHDI00001829560|1829560|16111800396|CHOLA REQUEST|Invalid spdc Entry
80|2017-02-09|1|X0CEDOM00001847113|1847113|16121401941|CHOLA REQUEST|Invalid spdc Entry
82|2017-02-09|1|XSHUKTM00001839247|1839247|16122000101|CHOLA REQUEST|Invalid GNSA Ref No
85|2017-02-09|1|XSHURPV00001840392|1840392|17011200001|CHOLA REQUEST|Invalid Agreement
86|2017-02-09|1|XSHURPV00001840397|1840397|17011200001|CHOLA REQUEST|Invalid Agreement
87|2017-02-09|1|XVFPHYF00001843516|1843516|17011200010|CHOLA REQUEST|Invalid Agreement
89|2017-02-09|1|XVFPRHI00001827864|1827864|17012100155|CHOLA REQUEST|Invalid spdc Entry
92|2017-03-08|1|XSHUIND00001847924|1847924|16122000198|CHOLA REQUEST|Invalid spdc Entry
93|2017-02-28|1|XVFPTJV00001850446|1850446|16122200156|CHOLA REQUEST|Invalid spdc Entry
94|2017-02-28|1|XVFPAUR00001850610|1850610|16122600101|CHOLA REQUEST|Invalid spdc Entry
97|2017-03-03|1|XSHUBIH00001853593|1853593|16122800473|CHOLA REQUEST|Invalid spdc Entry
